iter,loss,rmse
1,0.7764,0.9529
2,0.9555,1.0207
3,0.9768,0.9854
4,0.9609,0.8885
5,0.8977,0.5979
6,0.8434,0.4362
7,0.7945,0.3492
8,0.7598,0.3257
9,0.7398,0.3269
10,0.7222,0.3302
11,0.6986,0.3281
12,0.6748,0.3237
13,0.6511,0.3275
14,0.6364,0.3391
15,0.6200,0.3131
16,0.6050,0.3159
17,0.5910,0.3093
18,0.5781,0.3094
19,0.5655,0.3161
20,0.5543,0.3236
21,0.5437,0.3215
22,0.5350,0.3262
23,0.5289,0.3270
24,0.5201,0.3205
25,0.5114,0.3202
26,0.5040,0.3170
27,0.4960,0.3117
28,0.4886,0.3179
29,0.4820,0.3297
30,0.4758,0.3183
31,0.4700,0.3105
32,0.4639,0.3127
33,0.4589,0.3073
34,0.4538,0.3262
35,0.4489,0.3186
36,0.4441,0.3150
37,0.4400,0.3193
38,0.4359,0.3190
39,0.4317,0.3155
40,0.4276,0.3174
41,0.4235,0.3170
42,0.4199,0.3160
43,0.4165,0.3204
44,0.4134,0.3232
45,0.4100,0.3100
46,0.4067,0.3193
47,0.4037,0.3278
48,0.4007,0.3137
49,0.3979,0.3191
50,0.3951,0.3130
51,0.3923,0.3145
52,0.3898,0.3166
53,0.3874,0.3214
54,0.3850,0.3140
55,0.3826,0.3111
56,0.3804,0.3151
57,0.3781,0.3177
58,0.3759,0.3138
59,0.3738,0.3158
60,0.3718,0.3158
61,0.3696,0.3099
62,0.3676,0.3138
63,0.3656,0.3136
64,0.3636,0.3151
65,0.3619,0.3153
66,0.3600,0.3097
67,0.3584,0.3237
68,0.3568,0.3152
69,0.3553,0.3124
70,0.3537,0.3188
71,0.3521,0.3131
72,0.3505,0.3110
73,0.3490,0.3130
74,0.3476,0.3128
75,0.3462,0.3150
76,0.3449,0.3160
77,0.3435,0.3138
78,0.3421,0.3137
79,0.3409,0.3130
80,0.3396,0.3149
81,0.3384,0.3116
82,0.3372,0.3147
83,0.3360,0.3132
84,0.3348,0.3118
85,0.3337,0.3126
86,0.3327,0.3163
87,0.3316,0.3124
88,0.3304,0.3111
89,0.3294,0.3108
90,0.3285,0.3151
91,0.3274,0.3097
92,0.3265,0.3158
93,0.3255,0.3111
94,0.3246,0.3113
95,0.3237,0.3139
96,0.3228,0.3124
97,0.3218,0.3114
98,0.3209,0.3109
99,0.3200,0.3066
100,0.3192,0.3091
101,0.3184,0.3138
102,0.3176,0.3090
103,0.3167,0.3107
104,0.3159,0.3101
105,0.3150,0.3112
106,0.3143,0.3154
107,0.3135,0.3128
108,0.3128,0.3105
109,0.3121,0.3243
110,0.3114,0.3149
111,0.3107,0.3125
