iter,loss,rmse
1,0.8361,1.2106
2,1.0441,0.8938
3,1.1055,0.6333
4,1.1266,0.6851
5,1.1327,0.7832
6,1.1232,0.7640
7,1.1025,0.7044
8,1.0741,0.6435
9,1.0417,0.5919
10,1.0094,0.5808
11,0.9803,0.6327
12,0.9521,0.6176
13,0.9266,0.5776
14,0.9024,0.5775
15,0.8803,0.6028
16,0.8595,0.5971
17,0.8396,0.5668
18,0.8204,0.5625
19,0.8023,0.5648
20,0.7850,0.5604
21,0.7686,0.5562
22,0.7530,0.5581
23,0.7386,0.5567
24,0.7251,0.5584
25,0.7128,0.5659
26,0.7014,0.5654
27,0.6906,0.5619
28,0.6806,0.5646
29,0.6711,0.5621
30,0.6621,0.5581
31,0.6537,0.5575
32,0.6456,0.5569
33,0.6381,0.5575
34,0.6310,0.5551
35,0.6242,0.5533
36,0.6178,0.5537
37,0.6117,0.5543
38,0.6059,0.5543
39,0.6003,0.5538
40,0.5951,0.5535
41,0.5901,0.5539
42,0.5853,0.5560
43,0.5807,0.5567
44,0.5763,0.5570
45,0.5721,0.5567
46,0.5681,0.5564
47,0.5643,0.5572
48,0.5606,0.5581
49,0.5570,0.5571
50,0.5536,0.5562
51,0.5503,0.5561
52,0.5471,0.5564
53,0.5440,0.5563
54,0.5411,0.5552
55,0.5382,0.5552
56,0.5355,0.5550
57,0.5328,0.5563
58,0.5303,0.5557
59,0.5278,0.5548
60,0.5254,0.5552
61,0.5230,0.5557
62,0.5208,0.5555
63,0.5186,0.5554
64,0.5165,0.5561
65,0.5144,0.5555
66,0.5124,0.5559
67,0.5105,0.5555
68,0.5086,0.5563
69,0.5067,0.5565
70,0.5050,0.5558
71,0.5032,0.5551
72,0.5015,0.5557
73,0.4999,0.5562
74,0.4983,0.5552
75,0.4967,0.5542
76,0.4952,0.5541
77,0.4937,0.5555
78,0.4923,0.5559
79,0.4908,0.5544
80,0.4895,0.5530
81,0.4881,0.5549
82,0.4868,0.5566
83,0.4855,0.5551
84,0.4843,0.5537
85,0.4830,0.5544
86,0.4819,0.5559
87,0.4807,0.5558
88,0.4795,0.5538
89,0.4784,0.5533
90,0.4773,0.5556
91,0.4762,0.5555
92,0.4752,0.5540
93,0.4741,0.5537
94,0.4731,0.5540
95,0.4721,0.5549
96,0.4712,0.5540
97,0.4702,0.5539
98,0.4693,0.5539
99,0.4684,0.5542
100,0.4675,0.5539
101,0.4666,0.5531
102,0.4657,0.5539
103,0.4649,0.5537
104,0.4640,0.5542
105,0.4632,0.5536
106,0.4624,0.5538
107,0.4616,0.5533
108,0.4608,0.5532
109,0.4601,0.5529
110,0.4593,0.5541
111,0.4586,0.5541
112,0.4579,0.5534
113,0.4572,0.5530
114,0.4565,0.5529
115,0.4558,0.5526
116,0.4551,0.5537
117,0.4544,0.5534
118,0.4538,0.5525
119,0.4531,0.5523
120,0.4525,0.5526
121,0.4519,0.5530
122,0.4513,0.5535
123,0.4507,0.5533
124,0.4501,0.5519
125,0.4495,0.5517
126,0.4489,0.5517
127,0.4483,0.5520
128,0.4478,0.5535
129,0.4472,0.5531
130,0.4467,0.5521
131,0.4461,0.5501
132,0.4456,0.5518
133,0.4451,0.5529
134,0.4446,0.5536
135,0.4441,0.5510
136,0.4436,0.5508
137,0.4431,0.5527
138,0.4426,0.5520
139,0.4421,0.5520
140,0.4416,0.5509
141,0.4412,0.5505
142,0.4407,0.5516
143,0.4402,0.5514
144,0.4398,0.5523
145,0.4394,0.5509
146,0.4389,0.5502
147,0.4385,0.5504
148,0.4380,0.5520
149,0.4376,0.5509
150,0.4372,0.5506
151,0.4368,0.5500
152,0.4364,0.5502
153,0.4360,0.5506
154,0.4356,0.5512
155,0.4352,0.5514
156,0.4348,0.5502
157,0.4344,0.5504
158,0.4340,0.5501
159,0.4336,0.5494
160,0.4333,0.5515
161,0.4329,0.5517
162,0.4325,0.5504
163,0.4322,0.5500
164,0.4318,0.5490
165,0.4315,0.5494
166,0.4311,0.5500
167,0.4308,0.5504
168,0.4305,0.5506
169,0.4301,0.5503
170,0.4298,0.5493
171,0.4295,0.5494
172,0.4291,0.5491
173,0.4288,0.5500
174,0.4285,0.5501
175,0.4282,0.5499
176,0.4279,0.5490
177,0.4276,0.5488
178,0.4273,0.5487
179,0.4269,0.5500
180,0.4266,0.5502
181,0.4263,0.5493
182,0.4261,0.5476
183,0.4258,0.5482
184,0.4255,0.5477
185,0.4252,0.5499
186,0.4249,0.5508
187,0.4246,0.5487
188,0.4243,0.5494
189,0.4241,0.5487
190,0.4238,0.5482
191,0.4235,0.5478
192,0.4233,0.5482
193,0.4230,0.5480
194,0.4227,0.5500
195,0.4225,0.5503
196,0.4222,0.5486
197,0.4220,0.5469
198,0.4217,0.5458
199,0.4215,0.5468
200,0.4212,0.5489
201,0.4210,0.5494
202,0.4207,0.5488
203,0.4205,0.5493
204,0.4202,0.5483
205,0.4200,0.5474
206,0.4198,0.5459
207,0.4195,0.5461
208,0.4193,0.5467
209,0.4191,0.5473
210,0.4188,0.5482
211,0.4186,0.5492
212,0.4184,0.5486
213,0.4182,0.5483
214,0.4180,0.5477
215,0.4177,0.5473
216,0.4175,0.5459
217,0.4173,0.5464
218,0.4171,0.5476
219,0.4169,0.5479
220,0.4167,0.5479
221,0.4165,0.5475
222,0.4163,0.5479
223,0.4161,0.5481
224,0.4159,0.5463
225,0.4157,0.5457
226,0.4155,0.5469
227,0.4153,0.5463
228,0.4151,0.5480
229,0.4149,0.5474
230,0.4147,0.5459
231,0.4145,0.5472
