iter,loss,rmse
1,0.9818,2.2803
2,1.2954,2.2322
3,1.4904,2.5508
4,1.5675,2.0917
5,1.6181,2.1850
6,1.6516,2.1968
7,1.6732,2.1637
8,1.6880,2.0045
9,1.6988,1.9536
10,1.7061,2.0028
11,1.7105,2.1101
12,1.7121,1.9730
13,1.7120,1.8095
14,1.7108,1.8571
15,1.7083,1.8493
16,1.7055,1.8192
17,1.7018,1.7281
18,1.6981,1.6662
19,1.6932,1.6261
20,1.6891,1.6474
21,1.6842,1.6897
22,1.6798,1.5638
23,1.6755,1.2901
24,1.6708,1.6443
25,1.6675,1.7270
26,1.6621,1.4552
27,1.6571,1.1846
28,1.6520,1.2860
29,1.6471,1.4779
30,1.6423,1.4363
31,1.6371,1.2984
32,1.6317,1.2159
33,1.6271,1.1574
34,1.6219,1.3241
35,1.6172,1.4431
36,1.6116,1.1841
37,1.6073,1.0251
38,1.6016,1.0717
39,1.5973,1.3883
40,1.5927,1.3538
41,1.5871,1.0905
42,1.5820,1.0422
43,1.5770,1.1111
44,1.5720,1.3096
45,1.5664,1.1475
46,1.5612,1.0116
47,1.5556,1.1003
48,1.5503,1.1576
49,1.5448,1.1125
