iter,loss,rmse
1,0.8362,1.2156
2,1.0471,0.9144
3,1.1101,0.6405
4,1.1268,0.6149
5,1.1320,0.7626
6,1.1262,0.8064
7,1.1094,0.7633
8,1.0836,0.6944
9,1.0535,0.6353
10,1.0210,0.5867
11,0.9894,0.5770
12,0.9607,0.6174
13,0.9329,0.5963
14,0.9078,0.5667
15,0.8848,0.5650
16,0.8637,0.6094
17,0.8447,0.6235
18,0.8253,0.5649
19,0.8075,0.5606
20,0.7903,0.5574
21,0.7739,0.5565
22,0.7587,0.5578
23,0.7440,0.5521
24,0.7302,0.5598
25,0.7173,0.5556
26,0.7053,0.5525
27,0.6941,0.5548
28,0.6838,0.5664
29,0.6741,0.5653
30,0.6649,0.5554
31,0.6563,0.5513
32,0.6480,0.5563
33,0.6403,0.5618
34,0.6329,0.5575
35,0.6258,0.5516
36,0.6192,0.5474
37,0.6129,0.5469
38,0.6068,0.5497
39,0.6011,0.5525
40,0.5957,0.5531
41,0.5904,0.5508
42,0.5854,0.5460
43,0.5806,0.5457
44,0.5761,0.5479
45,0.5717,0.5506
46,0.5675,0.5546
47,0.5634,0.5518
48,0.5595,0.5488
49,0.5558,0.5477
50,0.5522,0.5502
51,0.5488,0.5548
52,0.5454,0.5555
53,0.5422,0.5502
54,0.5391,0.5476
55,0.5360,0.5487
56,0.5331,0.5516
57,0.5303,0.5536
58,0.5276,0.5506
59,0.5249,0.5460
60,0.5224,0.5443
61,0.5199,0.5474
62,0.5175,0.5501
63,0.5152,0.5512
64,0.5129,0.5464
65,0.5107,0.5455
66,0.5086,0.5457
67,0.5065,0.5462
68,0.5045,0.5478
69,0.5025,0.5479
70,0.5006,0.5498
71,0.4987,0.5490
72,0.4969,0.5475
73,0.4951,0.5468
74,0.4934,0.5460
75,0.4918,0.5457
76,0.4901,0.5480
77,0.4885,0.5497
78,0.4869,0.5475
79,0.4854,0.5484
80,0.4839,0.5483
81,0.4825,0.5471
82,0.4810,0.5464
83,0.4797,0.5462
84,0.4783,0.5478
85,0.4770,0.5468
86,0.4757,0.5492
87,0.4744,0.5477
88,0.4732,0.5482
89,0.4720,0.5483
90,0.4708,0.5458
